
-----     0     0           1010 
-----     0    10           1004 
-----     0    20           1084 
-----     0    30           1789 
-----     0    40           2154 
-----     0    50           2970 
-----     0    60           3923 
-----     0    70           3330 
-----     0    80           3541 
-----     0    90           4897 
-----     0   100           5928 
-----     0   110           6995 
-----     0   120           6596 
-----     0   130           6251 
-----     0   140           4466 
-----     0   150           3672 
-----     0   160           3378 
-----     0   170           3259 
-----     0   180           3530 
-----     0   190           3082 
-----     0   200           2810 
-----     0   210           3205 
-----     0   220           3149 
-----     0   230           5289 
-----     0   240           4804 
-----     0   250           3380 
-----     0   260           3456 
-----     0   270           3025 
-----     0   280           2538 
-----     0   290           2289 
-----     0   300           1622 
-----     0   310           1031 
-----     0   320            858 
-----     0   330            986 
-----     0   340           1134 
-----     0   350           1085 
-----    10     0           1133 
-----    10    10           1209 
-----    10    20           1821 
-----    10    30           3033 
-----    10    40           3837 
-----    10    50           4757 
-----    10    60           4712 
-----    10    70           4471 
-----    10    80           4449 
-----    10    90           6011 
-----    10   100           8110 
-----    10   110          10068 
-----    10   120           9320 
-----    10   130           6906 
-----    10   140           4867 
-----    10   150           4623 
-----    10   160           4159 
-----    10   170           5171 
-----    10   180           4494 
-----    10   190           4644 
-----    10   200           4732 
-----    10   210           5203 
-----    10   220           6628 
-----    10   230           9551 
-----    10   240           5017 
-----    10   250           4955 
-----    10   260           4303 
-----    10   270           3622 
-----    10   280           2883 
-----    10   290           2456 
-----    10   300           1484 
-----    10   310           1256 
-----    10   320           1165 
-----    10   330           1306 
-----    10   340           1289 
-----    10   350           1057 
-----    20     0           1800 
-----    20    10           2168 
-----    20    20           4326 
-----    20    30           5950 
-----    20    40           6693 
-----    20    50           6774 
-----    20    60           6043 
-----    20    70           4985 
-----    20    80           6058 
-----    20    90           7823 
-----    20   100          10396 
-----    20   110          12290 
-----    20   120          10013 
-----    20   130           6123 
-----    20   140           5308 
-----    20   150           5789 
-----    20   160           5378 
-----    20   170           5715 
-----    20   180           5691 
-----    20   190           6036 
-----    20   200           6264 
-----    20   210           7258 
-----    20   220          11790 
-----    20   230           8443 
-----    20   240           6356 
-----    20   250           6129 
-----    20   260           4802 
-----    20   270           4333 
-----    20   280           3536 
-----    20   290           2676 
-----    20   300           1633 
-----    20   310           1394 
-----    20   320           1573 
-----    20   330           1544 
-----    20   340           1340 
-----    20   350           1266 
-----    30     0           2562 
-----    30    10           5066 
-----    30    20           8215 
-----    30    30           8854 
-----    30    40           9889 
-----    30    50           9592 
-----    30    60           7526 
-----    30    70           6544 
-----    30    80           7463 
-----    30    90           9566 
-----    30   100          12180 
-----    30   110          12188 
-----    30   120           9949 
-----    30   130           7123 
-----    30   140           6494 
-----    30   150           5645 
-----    30   160           4927 
-----    30   170           5675 
-----    30   180           6059 
-----    30   190           6595 
-----    30   200           6504 
-----    30   210           8150 
-----    30   220           9547 
-----    30   230           9289 
-----    30   240           8934 
